tug_type,request_id,request_number,tug_number,spk_number,spk_id,vessel_name,destination_port,warehouse,status,created_at,created_by,notes,work_order_ref,item_no,spare_part_id,spare_part_name,part_number,requested_qty,approved_qty,unit,unit_price,remaining_stock,item_notes
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,3,sp-juli-39,"BALL BEARING for ME LO Purifier, Daily bilge pp, sludge ff pp, sewage ff pp, ME FO circ pp, ME exh gas fan",6205 ZZ C3 (NTN/FAG),12,12,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,4,sp-juli-40,"BALL BEARING for sewage transfer pump, FO PURIFIER",6305 ZZ C3 (NTN/FAG),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,5,sp-juli-41,"BALL BEARING for FO Transfer pp, ME LO Purifier, FW hydrophone pp",6306 ZZ C3 (NTN/FAG),10,10,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,6,sp-juli-42,"BALL BEARING for Ballast Pp, Main Cooling SW pp, ME HT CW stand by pp, LT CW stand by pp",6309ZZ C3 (NTN/FAG),14,14,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,7,sp-juli-43,BALL BEARING for Aux cooling FW pump,6311 ZZ C3 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,8,sp-juli-44,"BALL BEARING Emergency fire pump, ME LO stand by pump, Emergency fire pump",6312 ZZ C3 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,9,sp-juli-45,BALL BEARING for ME LO stand by pump,6313 ZZ C3 (NTN/FAG),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,10,sp-juli-46,"BALL BEARING for Fire, bilge & GS pp, Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp",6314 C3 (NTN/FAG),8,8,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,11,sp-juli-47,"BALL BEARING for Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp",6315 C3 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,12,sp-juli-48,BALL BEARING for Deck Water Spray pump,6316 C3 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,13,sp-juli-49,BALL BEARING for Galley exhaust fan,6205-2RSH (SKF),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,14,sp-juli-50,"BALL BEARING for ME LO Purifier, Sewage discharge PP",6205-ZZ (NTN/FAG),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,15,sp-juli-51,BALL BEARING for VRC hydraulic pp,6206-DDU/C3 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,16,sp-juli-52,BEARING ELECTROMOTOR AC COMPRESSOR,6312-/C3 (NTN/FAG),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,17,sp-juli-53,BEARING ELECTROMOTOR AC COMPRESSOR,6313-/C3 (NTN/FAG),2,2,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-10,MR-2026-000010,,1016.SPK/BA.202/BA010102/2026,spk-juli-10,Jayanti Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1016.SPK/BA.202/BA010102/2026,18,sp-juli-54,BEARING ELECTROMOTOR FOR BLOWER FAN,6309 (NTN/FAG),4,4,PCS,0,10,Permintaan SPK 1016.SPK/BA.202/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,1,sp-juli-55,O-RING,3803-6741-00,4,4,pcs,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,2,sp-juli-56,O-RING,3803-6423-00,4,4,pcs,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,3,sp-juli-57,Crank Pin Metal Bearing,1710-4103-00,2,2,set,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,4,sp-juli-58,Connecting Rod,1710-4100-00,1,1,set,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,5,sp-juli-59,Oil Pump,1380-6132-01,1,1,pcs,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,6,sp-juli-60,Cylinder Liner 1St Stage,1710-3102-00,1,1,set,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-11,MR-2026-000011,,1004.SPK/BA.302/BA010102/2026,spk-juli-11,Meutia Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1004.SPK/BA.302/BA010102/2026,7,sp-juli-61,Cylinder Liner 2Nd Stage,1710-3102-00,1,1,set,0,10,Permintaan SPK 1004.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,1,sp-juli-62,DELIVERY VALVE H.P. COMPLETE,3012,6,6,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,2,sp-juli-63,SUCTION VALVE L.P. COMPLETE,3020,4,4,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,3,sp-juli-64,SUCTION VALVE H.P. COMPLETE,3049,6,6,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,4,sp-juli-65,DELIVERY VALVE L.P. COMPLETE,3021,4,4,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,5,sp-juli-66,OIL RING H.P,3533,4,4,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,6,sp-juli-67,OIL RING L.P,3543,6,6,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,7,sp-juli-68,PISTON H.P.,3398,3,3,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,8,sp-juli-69,COMPRESSION RING H.P.,3505,8,8,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,9,sp-juli-70,COMPRESSION/OIL RING L.P.,3485,4,4,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,10,sp-juli-71,COMPRESSION RING L.P.,3518,8,8,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,11,sp-juli-72,OIL FILTER,3722,6,6,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-12,MR-2026-000012,,0993.SPK/BA.101/BA010102/2026,spk-juli-12,Latifah Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0993.SPK/BA.101/BA010102/2026,12,sp-juli-73,AIR FILTER INSERT,3718,6,6,pcs,0,10,Permintaan SPK 0993.SPK/BA.101/BA010102/2026
